"binom","body.size","rel.wing","resid.wing","range.size","bio1_mean","range.elev","max.mean.elev","min.mean.elev","max.elev","min.elev","max.min.elev","min.max.elev","max.mean.elev.finer","min.mean.elev.finer","range.elev.finer","bio6_mean"
"Aeshna_tuberculifera",74.5,0.893140109228759,0.264848732033273,1.37e+12,61.51939332,1725.23054866,1746.462158,21.23160934,3225,-19,1078,87,2044.076389,1.01e-12,2044.076389,-127.9287371
"Aeshna_umbrosa",68.5,0.8952776148706,0.246226515983552,3.55e+12,63.70368538,2978.69370251,2989.432617,10.73891449,4275,-89,2162,30,3417.22608,1.01e-12,3417.22608,-121.9991166
"Aeshna_verticalis",67,0.899991979548409,0.384876698325487,8.26e+11,71.84639199,767.52148441,791.9666138,24.44512939,1931,-15,447,77,1043.031636,14.09789343,1028.93374257,-121.5318025
"Aeshna_walkeri",66.5,0.909585093489173,0.705938203644029,2.89e+11,116.8931605,2040.49507116,2120.332031,79.83695984,4206,-79,1260,227,2576.878086,45.53880597,2531.33928003,-6.97187202
"Anax_amazili",72.5,0.915581669622606,1.0056002619418,1.78e+11,214.7679663,2103.576448691,2109.089844,5.513395309,2998,-39,1644,16,2047.08179,4.123739688,2042.958050312,80.24817896
"Anax_concolor",69.5,0.894882523934681,0.248546075530435,22090417712,228.1017532,67.30570888,79.4659729,12.16026402,233,0,9,30,53.02546296,6.927055703,46.098407257,84.68642807
"Anax_junius",73,0.909453340160288,0.804590203877953,6.85e+12,118.7239719,3013.857807777,3015.890381,2.032573223,4228,-171,1961,7,2885.49537,-56.17515432,2941.67052432,-59.64973176
"Anax_longipes",81,0.896945594074918,0.489443582300367,1.06e+12,138.4623541,789.934040577,791.9666138,2.032573223,1931,-16,332,7,933.6149691,1.421875,932.1930941,-35.56785798
"Anax_walsinghami",108,0.867221103719546,-0.239198703405755,3.56e+11,166.9262935,1948.0146403,2059.415771,111.4011307,3536,-79,1100,372,1965.679012,121.2231183,1844.4558937,17.51611977
"Aphylla_angustifolia",65,0.877628597746571,-0.430250719013919,3.05e+11,205.3876403,1599.375160276,1602.488159,3.112998724,3054,-21,651,27,1381.069444,1.289867841,1379.779576159,52.41471807
"Aphylla_protracta",55,0.901077536040904,0.204022817387613,2.53e+11,213.1741081,1592.908784687,1602.488159,9.579374313,3536,-7,816,29,1531.487654,5.799190283,1525.688463717,66.44299544
"Aphylla_williamsoni",73.5,0.85842086466391,-0.981696520673683,5.69e+11,186.1569538,403.607765476,406.7207642,3.112998724,1185,-21,185,17,315.0138889,2.907407407,312.106481493,29.69888299
"Arigomphus_cornutus",56,0.879664584882676,-0.523120658775837,5.49e+11,46.64356304,2402.00761423,2448.322754,46.31513977,4021,-2,1479,272,1902.62037,10.31404321,1892.30632679,-179.2327817
"Arigomphus_furcifer",50,0.860755630862642,-1.32346327194407,6.18e+11,69.87320897,441.06935506,462.3009644,21.23160934,1482,-18,273,101,556.0470679,17.71245421,538.33461369,-123.2842278
"Arigomphus_lentulus",53,0.876822199761406,-0.684554306868294,1.96e+11,170.9691295,377.706070411,384.9244995,7.218429089,700,-171,253,27,407.2307099,10.30431107,396.92639883,-7.222687847
"Arigomphus_maxwelli",52,0.864974910947886,-1.12818998240595,1.57e+11,182.3218272,199.361221811,206.5796509,7.218429089,501,-14,142,27,195.3140432,10.80864198,184.50540122,15.76488819
